,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,1,-0.379586093,0.375785888,0.393214409,0.403332935,0.380034467,0.383016205,0.115178637,-0.034895388,0.016890133,-0.008672348,-0.037597276,0.02694441,-0.006307059,0.016760827,-0.006507793,-0.001174036,-0.020026866,-0.032142102,-0.020730205,-0.011649595,-0.009532037,-0.005347666,0.004324077,-0.004872675,-0.014232584,-0.007897431,-0.037215285,-0.018777351,0.00875885,0.004155166,0.004346226,0.002658446,-0.0044221,0.003530361,0.001955918,0.015259647,-0.022096404,0.009248589,0.001119597,-0.005006856,0.001407904,0.003723727,-0.004485692
1,-0.379586093,1,-0.320473988,-0.320397993,-0.319474121,-0.304688716,-0.303767001,-0.085729052,0.017581772,-0.016156868,0.034523097,0.002476011,-0.011134192,0.006198067,-0.014689937,0.007694846,-0.019316286,-0.00570904,-0.001623516,-0.009116883,0.002870655,-0.007419716,-0.008986151,-0.040305245,-0.001276129,0.014028607,-0.001844292,-0.023649878,0.005635663,-0.045453719,-0.020147374,-0.020205897,0.000402653,0.006918126,-0.011769651,-0.024715715,-0.014838052,0.039571152,-0.01716142,-0.017673398,0.008257298,0.01595347,2.26E-05,-0.013061375
2,0.375785888,-0.320473988,1,0.125020423,0.526908809,0.29140421,0.265476253,0.028834897,-0.020492933,0.01513264,-0.029989993,-0.018576222,-0.000664586,-0.001101963,-0.006620788,-0.032491991,0.012741507,-0.005947253,-0.028423864,0.006777013,0.010385812,9.68E-05,-0.023622505,0.045378569,0.036790629,-0.041096469,-0.147931797,-0.00576214,0.005343943,0.03988039,-0.021390627,0.029713361,0.033482781,-0.045072602,0.052064128,0.001812875,0.047330197,-0.058327818,0.070824458,0.027617421,-0.010190959,-0.022906828,-0.005021774,0.020595222
3,0.393214409,-0.320397993,0.125020423,1,0.265394384,0.320191551,0.317869659,0.109072577,-0.025882318,0.008028006,-0.007987143,-0.01471488,0.001937772,-0.021706502,0.021039039,0.007151244,-0.007467245,0.004998243,-0.011784767,-0.023110421,-0.002418362,-0.003775343,0.001743667,-0.01585983,-0.016352416,-0.006506493,0.187093789,-0.019605804,-0.039004274,-0.005393495,0.003489616,-0.015425174,-0.0220165,0.025825421,-0.017907166,-0.022133395,-0.019161927,0.004997367,-0.022315749,-0.014378709,0.000311523,0.010761976,-0.011652858,-0.011899809
4,0.403332935,-0.319474121,0.526908809,0.265394384,1,0.301253495,0.273884193,-0.004492177,-0.023464006,0.013322291,-0.029257463,-0.004768183,0.037682885,-0.013243739,0.018164479,-0.028485851,0.016599149,-0.005660471,-0.030932846,0.008134095,-0.015290511,-0.01810405,-0.028738338,0.037650736,0.040303409,-0.044511569,-0.035216001,-0.020796405,0.009153217,0.027715851,-0.008268395,0.027650895,0.037288528,-0.045556016,0.035219337,-0.003714987,0.05584884,-0.044174815,0.056396785,0.050423089,-0.023534747,0.006226705,-0.010368256,0.047962518
5,0.380034467,-0.304688716,0.29140421,0.320191551,0.301253495,1,0.421756205,0.239591897,-0.011555695,-0.009950345,-0.009170968,-0.018932027,-0.008303676,-0.014788249,0.007814607,0.041722604,-0.010269952,0.249975846,0.276028101,0.124493407,-0.068147239,-0.013488538,-0.006382933,0.04237945,-0.009821481,-0.006735443,0.015398108,0.015929314,0.019474585,0.055707829,0.029440639,0.039188721,0.019504592,0.025355915,-0.012578221,0.129751524,0.001097913,-0.027378824,0.012319466,0.109608782,0.001903994,-0.000702415,0.09467625,0.108350374
6,0.383016205,-0.303767001,0.265476253,0.317869659,0.273884193,0.421756205,1,0.512454918,-0.024831341,-0.010775747,-0.041058835,-0.018358761,0.005590865,0.001788021,0.010656159,0.065601556,0.00871386,0.097929574,0.120210727,0.046399185,-0.017613688,-0.012686,0.001408854,-0.013354396,-0.016239725,0.018703771,0.030797799,0.020542047,-0.005737968,0.015840744,0.023472562,-0.000347731,-0.026252242,-0.002675266,-0.020018794,0.071832636,0.007152844,-0.020571018,-0.030287958,0.022842719,-0.001047565,-0.022258883,0.034752988,0.028617829
7,0.115178637,-0.085729052,0.028834897,0.109072577,-0.004492177,0.239591897,0.512454918,1,-0.004052554,-0.005539779,0.007515402,0.009981033,0.02790684,-0.00145955,0.009010687,0.068205345,0.011292762,0.12096908,0.1738059,0.047781122,-0.018762822,-0.003344413,-0.004717923,-0.023180088,-0.024021928,0.044972975,0.103351006,0.011419303,-0.002822462,-0.006162139,0.023597735,-0.010269463,-0.023822551,-0.007919275,-0.050827853,0.076340404,-0.027850539,0.000519241,-0.064772728,-0.004096053,0.018944517,-0.012007488,0.037281432,0.011488334
8,-0.034895388,0.017581772,-0.020492933,-0.025882318,-0.023464006,-0.011555695,-0.024831341,-0.004052554,1,-0.456960611,-0.070870074,0.442075223,-0.305939609,0.451876464,-0.286800649,0.005615235,-0.021954131,-0.012322986,0.004789113,-0.025979333,-0.00644518,-0.009955527,-0.022696833,-0.030147536,-0.021591746,0.004448354,0.005082738,0.005215366,-0.009987746,-0.009603123,-0.003377702,0.001368408,-0.020441513,-0.012253995,-0.013705661,-0.006953511,0.007960284,-0.004918651,-0.025964842,-0.009955152,0.013989545,-8.07E-05,-0.0261508,-0.021449914
9,0.016890133,-0.016156868,0.01513264,0.008028006,0.013322291,-0.009950345,-0.010775747,-0.005539779,-0.456960611,1,0.034820511,-0.46224233,0.304129531,-0.459698828,0.294180416,0.011043484,0.054349467,0.009205869,0.007908879,0.006364945,0.036452968,0.03239022,0.019168379,0.02835433,0.025379521,0.005233091,0.007245839,-0.000328449,0.023621278,0.02819615,-0.005894732,0.01372123,0.023897626,0.042454279,0.017815307,-0.015157429,-0.009786895,-0.035967016,0.025448383,-0.006096363,0.016806917,0.005876385,0.016052077,0.018865179
